mission_id,lat,lon,start,goal,cheb_dist,opt_reachable,opt_energy,opt_steps,mars_rover_ppo_best_success,mars_rover_ppo_best_fail_mode,mars_rover_ppo_best_steps,mars_rover_ppo_best_energy_used,mars_rover_ppo_best_energy_left,mars_rover_ppo_best_hazard_hits,mars_rover_ppo_best_efficiency_pct,mars_rover_ppo_best_extra_steps,mars_rover_ppo_old_success,mars_rover_ppo_old_fail_mode,mars_rover_ppo_old_steps,mars_rover_ppo_old_energy_used,mars_rover_ppo_old_energy_left,mars_rover_ppo_old_hazard_hits,mars_rover_ppo_old_efficiency_pct,mars_rover_ppo_old_extra_steps
860,-18.642,78.149,"[4, 3]","[19, 6]",15,True,33.97,15,True,,15,36.49,63.51,1,93.1,0,True,,15,40.36,59.64,1,84.2,0
861,22.789,99.195,"[13, 18]","[3, 4]",14,True,39.46,15,True,,15,40.7,59.3,0,96.9,0,True,,15,42.94,57.06,0,91.9,0
862,51.379,-168.717,"[18, 16]","[2, 16]",16,True,21.66,16,True,,16,22.9,77.1,0,94.6,0,True,,16,27.04,72.96,0,80.1,0
863,-19.649,6.694,"[12, 1]","[3, 16]",15,True,36.46,15,True,,17,40.46,59.54,0,90.1,2,True,,16,46.18,53.82,0,78.9,1
864,13.957,-25.784,"[1, 1]","[5, 17]",16,True,17.66,16,True,,16,17.66,82.34,0,100.0,0,True,,16,20.97,79.03,0,84.2,0
865,27.715,93.714,"[3, 17]","[2, 2]",15,True,17.07,15,True,,16,22.97,77.03,0,74.3,1,True,,15,22.38,77.62,0,76.3,0
866,10.096,-43.829,"[19, 9]","[3, 13]",16,True,47.14,16,True,,16,47.14,52.86,0,100.0,0,True,,16,62.4,37.6,0,75.6,0
867,-31.542,-157.055,"[4, 16]","[10, 2]",14,True,30.63,14,True,,14,30.97,69.03,0,98.9,0,True,,14,33.87,66.13,0,90.4,0
868,-19.716,-83.484,"[17, 13]","[2, 15]",15,True,31.14,15,False,energy_exhausted,69,100.0,0.0,0,,,True,,15,38.36,61.64,0,81.2,0
869,-5.28,-7.909,"[17, 5]","[1, 15]",16,True,35.28,16,True,,20,42.63,57.37,0,82.8,4,True,,16,44.18,55.82,0,79.9,0
870,53.864,26.738,"[0, 1]","[14, 4]",14,True,30.97,14,True,,14,33.73,66.27,1,91.8,0,True,,14,38.77,61.23,1,79.9,0
